total_goal_count,home_team_goal_timings,away_team_goal_timings,game_id
3,"3,83",90'2,0
3,11,"8,18",1
2,"24,90'1",,2
2,,"41,79",3
3,,"34,45,80",4
2,"35,54",,5
4,"44,80","17,67",6
4,"19,45'2,53,88",,7
0,,,8
2,,"14,64",9
0,,,10
3,"15,31",54,11
2,"29,45",,12
4,"43,74,77",52,13
3,33,"60,66",14
5,"9,20,81","37,41",15
4,6,"3,48,51",16
7,"25,31,35,48,75,84",43,17
5,"25,27,44","34,90'5",18
2,,"45,90'3",19
2,57,69,20
4,"75,79","56,66",21
4,"30,70,90'2",25,22
0,,,23
3,52,"56,90'2",24
1,23,,25
3,"53,71",78,26
6,"4,36,38,83","10,41",27
3,83,"76,87",28
3,,"50,52,84",29
3,63,"10,45",30
4,"67,84","43,62",31
2,"72,85",,32
2,,"47,90'2",33
2,36,34,34
1,,90'3,35
3,"8,52",30,36
5,"45'2,70","11,62,81",37
2,,"27,44",38
3,"69,76",53,39
3,90'3,"39,54",40
6,"19,37,41,81","88,89",41
5,"37,43,80,83",16,42
1,,38,43
3,"2,21,47",,44
3,90'1,"49,58",45
3,65,"35,38",46
1,61,,47
4,45'2,"11,31,61",48
4,"35,65","67,90",49
2,78,2,50
4,"39,41,83,88",,51
5,,"32,35,44,67,89",52
0,,,53
4,"19,66,75",5,54
3,"10,21,45'3",,55
2,18,53,56
3,90'3,"42,76",57
0,,,58
2,"56,59",,59
4,"5,43,74",71,60
2,"81,83",,61
3,"56,66,89",,62
2,,"25,34",63
2,"29,65",,64
2,,"30,73",65
2,"79,87",,66
2,25,89,67
3,60,"51,70",68
3,"5,87",55,69
1,25,,70
2,20,66,71
1,,56,72
3,40,"7,77",73
1,8,,74
4,,"14,33,45,47",75
5,"70,76,90","7,10",76
6,44,"29,49,67,79,90'1",77
3,,"30,57,90'3",78
0,,,79
4,"21,90'6","55,73",80
0,,,81
6,"15,20,65,87","11,34",82
5,"17,54,56,83,90",,83
1,,29,84
1,,44,85
2,,"20,21",86
1,,24,87
2,"87,89",,88
4,"45,63,66",31,89
1,48,,90
3,,"14,72,85",91
5,"10,66,84,87",77,92
0,,,93
3,"10,19,80",,94
2,89,30,95
4,,"22,57,62,90'2",96
4,"45'1,83","51,56",97
3,"27,49",77,98
1,,6,99
3,11,"35,90'2",100
1,,55,101
4,"26,50,77",33,102
1,65,,103
6,"10,68,84,90'2","45,77",104
2,82,61,105
5,"68,79","27,30,61",106
7,"6,12,18,45'2,67,90'1",29,107
4,"32,65,70",53,108
1,29,,109
3,"28,90",6,110
2,6,74,111
0,,,112
3,"7,39",45'6,113
2,20,82,114
1,,66,115
2,"41,53",,116
0,,,117
2,86,13,118
4,"12,48,86",58,119
2,15,79,120
1,59,,121
5,"33,43,63","18,53",122
0,,,123
3,,"67,76,89",124
4,,"11,19,34,90'3",125
4,"8,16,54",85,126
3,45'1,"30,67",127
2,,"6,74",128
3,40,"4,23",129
3,"65,77",18,130
2,"16,77",,131
3,1,"45'4,69",132
2,"12,23",,133
4,"16,57,79",44,134
3,,"11,63,90'3",135
4,"13,20","33,39",136
2,"4,82",,137
6,"10,56,74,77","30,34",138
1,90'6,,139
3,"5,22",38,140
4,"24,31,45'4",81,141
4,"49,54,61",90'5,142
3,85,"40,51",143
4,54,"62,69,90'1",144
2,42,74,145
3,"59,63",18,146
2,38,19,147
4,"30,69","26,68",148
4,"9,51,55",90'3,149
4,,"25,48,68,77",150
1,83,,151
1,40,,152
1,74,,153
5,"13,28,42,82",67,154
5,"48,62,65","6,76",155
2,"45,78",,156
2,,"45'1,58",157
3,23,"17,90'4",158
4,"15,90'6","63,65",159
4,"22,50,69",65,160
1,39,,161
1,,55,162
1,90'1,,163
5,"16,52,68","80,82",164
2,"12,90'4",,165
2,,"17,29",166
3,66,"17,33",167
5,"20,44,85","28,53",168
4,"24,73,80",33,169
2,,"18,68",170
4,"14,48,90'1",63,171
2,"21,77",,172
1,,51,173
4,58,"15,42,71",174
5,"27,85","33,35,51",175
0,,,176
2,,"30,87",177
6,38,"3,29,41,57,90",178
8,"21,51","27,35,42,48,61,74",179
2,74,85,180
6,36,"2,13,22,71,90'3",181
0,,,182
3,"19,81",14,183
4,"11,47,79,85",,184
4,"28,64,78",88,185
5,"16,23,35,61,70",,186
2,35,7,187
3,45'3,"45'1,58",188
3,50,"53,59",189
1,59,,190
1,90'1,,191
1,,90'2,192
4,22,"72,83,87",193
2,82,29,194
6,"14,16,32,45'2,65",11,195
1,,51,196
2,"15,34",,197
4,37,"10,45,45'3",198
5,"5,33,45,72",45'2,199
1,,58,200
5,"25,55,79,83",69,201
3,,"3,12,26",202
0,,,203
3,33,"40,74",204
4,"66,68","56,58",205
2,,"83,90'5",206
6,"34,37,40","14,27,38",207
2,,"64,80",208
3,"40,72",64,209
1,48,,210
1,,50,211
3,"20,23",2,212
0,,,213
3,38,"67,74",214
3,58,"11,45'2",215
3,"9,57",40,216
2,"61,90'5",,217
1,,44,218
3,"10,39,78",,219
7,"4,12,64,90'3","47,51,87",220
2,"53,90'1",,221
7,"46,53,75,90'3","34,65,90'5",222
3,"27,42",72,223
3,"24,63,90'3",,224
3,"50,64",90'1,225
0,,,226
2,"14,39",,227
3,,"18,54,56",228
3,17,"51,90'3",229
3,"66,83",90'3,230
6,"47,58,74,79","3,17",231
1,,3,232
3,"66,80,86",,233
4,"87,90'2","51,81",234
3,"66,80",1,235
4,"47,63,74,90'5",,236
2,77,41,237
2,3,45'2,238
3,"80,87",38,239
1,83,,240
0,,,241
2,90'4,55,242
5,"16,45'1,66,69,86",,243
2,"25,87",,244
4,27,"7,45,66",245
2,"5,46",,246
1,,9,247
4,"1,44,61",11,248
2,28,22,249
2,,"45'2,90'7",250
3,,"14,23,65",251
2,76,27,252
3,90'3,"16,44",253
3,"24,34,48",,254
3,90'1,"69,90'3",255
1,65,,256
4,76,"26,61,74",257
4,"33,63,90'1",76,258
6,"4,13,19,25,56,80",,259
2,90'5,56,260
6,82,"18,61,63,73,90'1",261
4,"29,40,90'1",3,262
3,"57,83",65,263
2,14,83,264
2,"46,52",,265
5,64,"40,70,81,90'3",266
2,"6,17",,267
0,,,268
3,,"41,66,90'3",269
1,90'1,,270
3,"10,63",66,271
2,"24,38",,272
6,"4,27,47,59,78",30,273
2,"23,40",,274
4,66,"33,52,83",275
2,"57,84",,276
5,"9,20,66,79,82",,277
1,59,,278
2,74,16,279
1,,55,280
1,79,,281
4,90,"15,48,76",282
5,"53,59,88","26,75",283
2,"16,18",,284
2,"7,42",,285
3,"5,90'2",75,286
3,27,"20,31",287
0,,,288
3,50,"19,74",289
2,"4,52",,290
2,,"20,66",291
4,"21,78,86",51,292
5,"65,81,84","18,32",293
3,"76,81",26,294
4,"46,50,59",66,295
6,"19,29,67,90'3","6,90'1",296
2,90'2,56,297
2,"12,69",,298
4,"48,81","45'5,90'4",299
3,38,"33,90",300
7,"15,75,84,90'1","17,30,65",301
3,74,"26,81",302
2,"49,72",,303
2,,"5,27",304
1,,53,305
2,"2,77",,306
2,"76,88",,307
2,"11,82",,308
3,"28,72",90,309
2,,"5,33",310
3,46,"84,90'1",311
3,"16,90",70,312
2,"30,83",,313
5,"23,63,69,75",33,314
3,"25,77",13,315
3,"38,60,63",,316
2,"55,80",,317
2,"6,44",,318
4,9,"36,80,86",319
4,4,"18,20,56",320
5,52,"24,48,79,84",321
1,,81,322
1,10,,323
2,"24,90",,324
1,,32,325
4,"24,27,87,90'3",,326
5,,"33,55,74,82,90'2",327
2,"31,90'2",,328
2,"46,69",,329
4,"2,30,71",28,330
3,"19,80",49,331
4,81,"15,63,90",332
2,"51,53",,333
1,,10,334
2,,"22,50",335
1,5,,336
1,,53,337
3,90'3,"5,80",338
4,"37,82","67,90'2",339
0,,,340
4,"27,31,86",59,341
4,"13,28,56,64",,342
5,"47,77","17,61,69",343
2,,"57,81",344
4,"12,14","8,24",345
2,90,1,346
1,88,,347
4,"28,37,45'2",80,348
2,,"54,66",349
5,"1,23,45'1,66,83",,350
1,,67,351
0,,,352
1,79,,353
6,"12,55,67","20,32,86",354
3,49,"41,77",355
2,75,18,356
3,"59,86,90'5",,357
1,,63,358
2,11,43,359
2,"17,20",,360
1,90'1,,361
3,"16,69,72",,362
1,75,,363
5,"31,90","28,39,70",364
5,"20,54","13,28,86",365
3,"48,51,75",,366
2,60,8,367
2,9,61,368
1,70,,369
5,27,"28,38,63,72",370
4,65,"52,63,90'4",371
8,"24,32,37,65,80","45,56,73",372
4,,"9,11,61,90",373
0,,,374
2,"17,81",,375
2,,"23,54",376
2,41,55,377
4,"3,75","69,72",378
5,46,"15,39,71,78",379
