time_banding,Observed,Pr,Expected,chi-sq contribution
10,277,0.26915970190611943,288.53920044336,0.46147333418627756
20,213,0.19671275677592842,210.87607526379526,0.021391977631503627
30,169,0.1437656098009884,154.11673370665957,1.4372976264868211
40,119,0.10506970112260294,112.63471960343036,0.3597185190286553
50,76,0.07678917168907817,82.3179920506918,0.484912502822271
60,65,0.056120621127627945,60.16130584881716,0.3891697621645188
70,48,0.041015211474129454,43.96830670026677,0.36968789755588144
80,27,0.029975569380136236,32.133810375506044,0.820195571694272
90,17,0.02190735406131261,23.48468355372712,1.7905764280696597
90+,61,0.05948430266207638,63.767172453745886,0.12008127527254371
